Article.Title,Answer.3,Braille.Learning.Tools,Assistive.Technologies,Tactile.and.3D.Models,Audio.and.Speech.Tools,Educational.Resources,Health.and.Oral.Hygiene,ICT.and.Software.Solutions
Interactive Urdu Braille Learning System for Parents of Visually Impaired Students,Web-based Urdu Braille Translator and learning tool,1,1,0,0,1,0,1
Dual Braille Code Translator: Basic Education Tool for Visually Impaired Children,Dual Braille Code Translator,1,1,0,0,1,0,1
BrailleBlocks: Computational Braille Toys for Collaborative Learning,BrailleBlocks for learning Braille,1,1,1,0,1,0,0
Slate Master: A Tangible Braille Slate Tutor for Mobile Devices,Braille slate tutor for mobile devices,1,1,0,0,1,0,1
BrailleBlocks: Braille Toys for Cross-Ability Collaboration,Braille learning system with blocks and games,1,1,1,0,1,0,0
Making Linear Equations Accessible For Visually Impaired Students Using 3D Printing,3D models of linear equation graphs,0,0,1,0,1,0,0
The Implementation of a Braille to Speech Prototype Application as a Self-study Tool for Visually Impaired People,Braille to speech application,0,1,0,1,0,0,1
Effectiveness of technology for braille literacy education for children: a systematic review,Assistive devices for braille literacy,1,1,1,0,1,0,1
Hardware Design and Implementation of Bengali Braille Embosser,Bengali Braille embosser,0,1,0,0,1,0,0
Braille - Bar Code - MP3 Method to Teach Blind and Visually Impaired Users Using an Application that Displays Audio Files Using Bar Code and Braille,"Braille, bar code, MP3 for audio files",1,1,0,1,0,0,0
Impact of comprehendible learning modes on oral health among visually impaired adults,Braille and compressed speech materials,1,1,0,1,1,0,0
Supporting education of people with visual disabilities using braille codes and QR code technology,Braille codes with QR code technology,0,1,0,0,0,0,1
New vision for improving oral hygiene status of visually impaired students aged from 9 to 17 years,Braille and Audio Tactile performance (ATP),1,1,0,1,1,0,0
BRAPTER: Compact Braille Transput Communicator,Compact Braille Transput Communicator,0,1,0,0,0,0,0
Effectiveness of Oral Health Education Interventions Using Braille on Oral Health among Visually Impaired Children: Proposal for a Systematic Review,Braille for oral health education,0,1,0,0,1,1,0
PINDOTS: An Assistive Six-dot Braille Cell Keying Device on Basic Notation Writing for Visually Impaired Students with IoT Technology,Assistive Braille Device with IoT,0,1,0,0,0,0,1
Effectiveness of different oral health education interventions in visually impaired school children,"Audio, tactile, performance technique, Braille",1,1,1,1,1,0,0
"Effect of oral health education in the form of Braille and oral health talk on oral hygiene knowledge, practices, and status of 12-17 years old visually impaired school girls in Pune city: A comparative study",Braille and oral health talk,0,1,0,1,1,1,0
Design of a Braille Learning Application for Visually Impaired Students in Bangladesh,Mobile Braille learning application,1,1,0,0,1,0,1
Experiment on teaching visually impaired and blind children using a mobile electronic alphabetic braille trainer,Mobile electronic Braille alphabet simulator,1,1,0,0,1,0,1
Comparison of different modes of oral health education in visually impaired children,"Braille pamphlets, NVDA software",1,1,0,0,1,0,1
